# x	y	u	v	mask
  4.1753	  0.4766	 -0.3749	  3.1124	  0.0000
  4.3929	  0.4766	  1.7469	  4.1148	  0.0000
  4.6104	  0.4766	  0.1789	  1.6932	  1.0000
  4.8280	  0.4766	  0.4030	  1.5181	  1.0000
  5.0456	  0.4766	 -1.5018	  1.9491	  0.0000
  0.2590	  0.2590	 -0.0017	 -0.0027	  0.0000
  0.4766	  0.2590	 -0.0337	  0.0099	  0.0000
  0.6942	  0.2590	 -0.0151	  0.0907	  0.0000
  0.9117	  0.2590	  0.0218	  0.1230	  0.0000
  1.1293	  0.2590	 -0.3795	  0.8418	  1.0000
  1.3469	  0.2590	 -0.9135	  1.0605	  0.0000
  1.5644	  0.2590	 -0.5341	  1.7682	  1.0000
  1.7820	  0.2590	 -0.5828	  2.2622	  1.0000
  1.9996	  0.2590	 -0.5624	  2.5567	  1.0000
  2.2172	  0.2590	 -0.0058	  4.6827	  0.0000
  2.4347	  0.2590	 -1.9534	  2.9621	  0.0000
  2.6523	  0.2590	  0.2170	  2.2572	  1.0000
  2.8699	  0.2590	  6.1217	  6.1803	  0.0000
  3.0874	  0.2590	 -3.4595	 -8.3666	  0.0000
  3.3050	  0.2590	  0.4254	  1.5419	  1.0000
  3.5226	  0.2590	  0.4150	  1.5103	  1.0000
  3.7402	  0.2590	  0.0575	  1.3233	  1.0000
  3.9577	  0.2590	  0.0393	  1.6737	  1.0000
  4.1753	  0.2590	  0.3662	  1.7299	  1.0000
  4.3929	  0.2590	  0.3087	  1.7017	  1.0000
  4.6104	  0.2590	 -1.4209	  1.9066	  0.0000
  4.8280	  0.2590	 -0.0711	  1.8107	  0.0000
  5.0456	  0.2590	  0.6540	  1.4643	  1.0000
